City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Williston,US,88.21,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
229,Hong Kong,HK,87.85,scattered clouds,22.2855,114.1577,Mini Hotel Central
238,Gigmoto,PH,84.81,scattered clouds,13.7796,124.39,Cj's Travellers Inn
239,Lompoc,US,88.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
243,Jega,NG,89.6,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
250,Charters Towers,AU,76.19,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
254,Sassandra,CI,76.71,scattered clouds,4.95,-6.0833,la terrasse
257,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
258,Lagos,NG,80.92,light rain,6.5833,3.75,
259,Sanguéya,GN,76.64,light rain,10.7,-14.3667,
260,Esna,EG,80.62,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
265,Miracema do Tocantins,BR,78.13,clear sky,-9.5618,-48.3967,Miami Apart Hotel
272,Nioro,GM,82.87,overcast clouds,13.35,-15.75,
273,La Ronge,CA,84.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
278,Kharan,PK,89.37,clear sky,28.5833,65.4167,Dil Aram Bangla
280,Fairbanks,US,81.61,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
283,Bambanglipuro,ID,77.5,broken clouds,-7.95,110.2833,Puri Brata
284,Bachaquero,VE,82.35,few clouds,9.9694,-71.1494,casa de los dinosaurios
290,Tual,ID,80.89,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
293,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
294,Santa Catarina de Tepehuanes,MX,83.53,scattered clouds,25.35,-105.7333,hotel plaza
295,Nālūt,LY,78.53,clear sky,30.3333,10.85,
296,Gwadar,PK,83.17,broken clouds,25.1216,62.3254,Sadaf Resort
298,High Level,CA,78.91,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
303,Harper,LR,78.12,few clouds,4.375,-7.7169,Screensaver
304,Puerto Escondido,MX,82.9,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
305,Sinnamary,GF,78.39,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
318,Séguéla,CI,75.09,broken clouds,7.9611,-6.6731,Hotel le Carrefour
331,Manokwari,ID,80.64,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
333,San Andrés,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
336,Dubai,AE,86.25,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
342,Tezu,IN,79.32,broken clouds,27.9167,96.1667,Circuit House
349,Samarinda,ID,78.35,moderate rain,-0.5,117.15,Aston Samarinda Hotel & Convention Center
351,Shaoguan,CN,80.53,overcast clouds,24.8,113.5833,Shangcheng Hotel
359,Pacific Grove,US,83.61,clear sky,36.6177,-121.9166,Lovers Point Inn
360,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
361,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
363,Kiunga,PG,79.34,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
364,Takoradze,GH,78.98,light rain,4.8845,-1.7554,Raybow International Hotel
367,Nueva Guinea,NI,75.87,heavy intensity rain,11.6876,-84.4562,Posadita La Reyna
371,Avera,US,89.11,scattered clouds,33.194,-82.5271,
377,Jiujiang,CN,85.84,overcast clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
385,Casian,PH,83.53,scattered clouds,11.035,119.7136,
390,Buala,SB,83.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
391,Havelock,US,81.05,broken clouds,34.8791,-76.9013,Sherwood Motel
397,Barra de Tecoanapa,MX,82.29,overcast clouds,16.5167,-98.75,Hotel Manglares
398,Aswān,EG,81.82,clear sky,24.0934,32.907,Nuba Nile
399,Kavieng,PG,84.49,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
409,Bandarbeyla,SO,78.12,overcast clouds,9.4942,50.8122,JABIR HOTEL
415,Sur,OM,89.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
421,Buluang,PH,84.9,broken clouds,13.3068,123.3425,Enon Beach Resort
424,Labuhan,ID,79.29,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
426,Arlit,NE,88.79,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
428,Saint Anthony,US,84.65,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
431,El Batey,DO,84.11,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
436,Omboué,GA,75.76,overcast clouds,-1.5746,9.2618,Hotel Olako
442,Palmas Bellas,PA,81.25,overcast clouds,9.2319,-80.0867,Estación de Chagres
443,Sawākin,SD,83.82,clear sky,19.1059,37.3321,فندق الدويم
444,Jiaxing,CN,84.22,light rain,30.7522,120.75,Jiaxing Sunny Hotel
451,Latung,PH,83.16,overcast clouds,5.5,120.8833,
454,Qom,IR,79.48,clear sky,34.6401,50.8764,Qom Hotel
455,Kailua,US,84.07,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
460,Bogandé,BF,89.56,scattered clouds,12.9714,-0.1436,Auberge Wendkouni
461,Alugan,PH,82.54,overcast clouds,12.2188,125.4808,JM Lodge
462,Laguna,US,89.91,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
