,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Guerrero Negro,MX,27.9769,-114.0611,71.28,65,42,15.39,scattered clouds
126,Waingapu,ID,-9.6567,120.2641,78.49,73,89,7.34,overcast clouds
127,Upata,VE,8.0086,-62.3989,76.19,94,40,5.06,scattered clouds
128,Hervey Bay,AU,-25.2986,152.8535,68.11,85,24,5.03,few clouds
129,Boguchany,RU,58.3814,97.4531,53.46,51,9,3.4,clear sky
130,Mokhsogollokh,RU,61.4681,128.9203,55.04,85,100,1.59,overcast clouds
131,Melfi,IT,40.9965,15.6514,54.5,63,0,4.45,clear sky
132,Mataura,NZ,-46.1927,168.8643,49.48,95,100,0.6,moderate rain
133,Wanning,CN,18.8003,110.3967,83.25,75,76,8.97,broken clouds
134,Cherskiy,RU,68.75,161.3,61.39,38,89,8.95,overcast clouds
135,Goderich,CA,43.7501,-81.7165,61.92,82,67,12.66,broken clouds
136,Vestmannaeyjar,IS,63.4427,-20.2734,41.56,84,100,6.4,overcast clouds
137,Samarai,PG,-10.6167,150.6667,81.45,81,24,12.33,few clouds
138,Dubbo,AU,-32.25,148.6167,44.73,93,90,9.22,overcast clouds
139,Chokurdakh,RU,70.6333,147.9167,55.26,54,85,5.7,overcast clouds
140,Avarua,CK,-21.2078,-159.775,77.05,73,75,9.22,light rain
141,Narsaq,GL,60.9167,-46.05,39.79,82,19,3.62,few clouds
142,Bengkulu,ID,-3.8004,102.2655,76.26,84,88,3.27,light rain
143,Qaanaaq,GL,77.484,-69.3632,33.15,83,11,3.36,few clouds
144,Korla,CN,41.7597,86.1469,62.98,44,26,1.59,scattered clouds
145,Mossamedes,AO,-15.1961,12.1522,69.91,74,23,2.86,few clouds
146,Finnsnes,NO,69.2296,17.9811,45.21,88,100,2.68,overcast clouds
147,Huarmey,PE,-10.0681,-78.1522,66.54,87,66,4.56,broken clouds
148,Nangomba,TZ,-10.9,38.5,61.0,66,6,2.59,clear sky
149,Dwārka,IN,22.2394,68.9678,84.81,73,100,18.79,overcast clouds
150,Tiksi,RU,71.6872,128.8694,43.38,82,100,21.43,moderate rain
151,Vila Velha,BR,-20.3297,-40.2925,69.75,81,40,1.99,scattered clouds
152,Biak,ID,-0.9131,122.8766,74.89,89,100,3.85,moderate rain
153,Mayo,US,38.8876,-76.5119,83.32,81,8,3.0,clear sky
154,San Quintín,MX,30.4833,-115.95,69.66,74,11,13.67,few clouds
155,Hithadhoo,MV,-0.6,73.0833,82.17,75,76,8.68,broken clouds
156,Mīnāb,IR,27.1467,57.0801,87.3,72,11,5.39,few clouds
